artist,title,lyrics,description,release date
Astrud Gilberto,How Insensitive,"How Insensitive LyricsHow insensitive
I must have seemed
When he told me that he loved me
How unmoved and cold
I must have seemed
When he told me so sincerely
Why he must have asked
Did I just turn and stare in icy silence
What was I to say
What can you say
When a love affair is over
Now he's gone away
And I'm alone
With a memory of his last look
Vague and drawn and sad
I see it still
All his heartbreak in his last look
Why, he must have asked
Could I just turn and stare in icy silence
What was I to do
What can one do
When a love affair is overEmbed","This could be Astrud’s song about her former husband whom she was with during the recordings of this song in the 1960s, Joao Gilberto.",1965
Astrud Gilberto,Meditation,"Meditation LyricsIn my loneliness
When you're gone
And I'm all by myself
And I need your carress
I just think of you
And the thought of you holding me near
Makes my loneliness soon disappear
Though you're far away
I have only to close my eyes
And you are back to stay
I just think of you
And the sadness that missing you brings
Soon is gone and this heart of mine sings
Yes I love you so
And that for me
Is all I need to know
I will wait for you
Till the sun falls
From out of the sky
For, what else can I do
I will wait for you
Meditating how sweet life will be
When you come back to meEmbed",?,1965
Astrud Gilberto,Água de Beber,"Água de Beber LyricsEu quis amar, mas tive medo
E quis salvar meu coração
Mas o amor sabe um segredo
O medo pode matar o seu coração
Água de beber
Água de beber camará
Água de beber
Água de beber camará
Eu nunca fiz coisa tão certa
Entrei pra escola do perdão
A minha casa vive aberta
Abri todas as portas do coração
Água de beber
Água de beber camará
Água de beber
Água de beber camará
Eu sempre tive uma certeza
Que só me deu desilusão
É que o amor é uma tristeza
Muita mágoa demais para um coração
Água de beber
Água de beber camará
Água de beber
Água de beber camará4Embed",?,1965
Astrud Gilberto,(So Nice) Summer Samba,"(So Nice) Summer Samba Lyrics
Someone to hold me tight
That would be very nice
Someone to love me right
That would be very nice
Someone to understand
Each little dream in me
Someone to take my hand
To be a team with me
So nice, life would be so nice
If one day I'd find
Someone who would take my hand
And samba through life with me

Someone to cling to me
Stay with me right or wrong
Someone to sing to me
Some little samba song
Someone to take my heart
And give his heart to me
Someone who's ready to
Give love a start with me

Oh yes, that would be so nice
Should it be you and me
I can see it could be nice

Someone to cling to me
Stay with me right or wrong
Someone to sing to me
Some little samba song
Someone to take my heart
And give his heart to me
Someone who's ready to
Give love a start with me

So nice, that would be so nice
Should it be you and me
I can see it could be niceEmbed","written by marcos valle in 1964, this brazilian bossa nova standard was popularised by astrid gilberto and walter wanderley.",1966
Astrud Gilberto,Goodbye Sadness (Tristeza),"Goodbye Sadness (Tristeza) LyricsLa la la la
La la la la la la la
La la la la la la la
The big sadness the heart feels
Let it leave mine forever
Let my lips sing again
From this day on
My days are days
Of sun and roses
My life's a carnival of song
From this day on
My dear the door
To sorrow closes
This day when you came along
La la la la
La la la la la la la
La la la la la la la
Tristeza
Por favor vá embora
Minha alma que chora
Está vendo o meu fim
Fez do meu coração a sua moradia
Já é demais o meu penar
Quero voltar àquela vida de alegria
Quero de novo cantarEmbed",?,1966
Astrud Gilberto,Berimbau,"Berimbau LyricsQuem é homem de bem não trai
O amor que lhe quer seu bem
Quem diz muito que vai, não vai
Assim como não vai, não vem
Quem de dentro de si não sai
Vai morrer sem amar ninguém
O dinheiro de quem não dá
É o trabalho de quem não tem
Capoeira que é bom não cai
Mas se um dia ele cai, cai bem
Capoeira me mandou dizer que já chegou
Chegou para lutar
Berimbau me confirmou vai ter briga de amor
Tristeza, camará1Embed",?,1964
artist,title,lyrics,description,release date
Aswad,Shine,"Shine LyricsOoh aah ooh ooh ooh ooh aah
Ooh aah ooh ooh ooh ooh aah
(CHORUS:)
Come on and shine (shine), shine like a star (ah-ha)
Shining so bright (ah-ha) like the star that you are (ah-ha)
Oh oh oh oh shine (shine) into the future (ah-ha)
Spreading your light (ah-ha) wherever you are (ah-ha)
I burn like a fire left in the rain
As I run the race, oh yes I feel the pain
From the resistance I'm feeling the strain
Now the realization is that we are all born the same
(CHORUS)
I reach for the moon and I reach for the stars (ooh ooh ooh)
With the strength from within me yeah, the further and faster I run
Stretching my sinews to the bone (ooh)
Achieving all goals that I seek, I know I must do it alone (ooh ooh ooh)
(BRIDGE:)
When they said I'd never make it
I found strength from within (ooh)
'Cause it is there if you seek it
So you can get it if you really want so
Shine (shine), shine like a star (ah-ha)
Shining so bright (ah-ha) like the star that you are (ah-ha)
Oh oh oh oh shine (shine) into the future (ah-ha)
Spreading your light (ah-ha) wherever you are (ah-ha)
Oh oh oh oh shine
Shine, shine your light
Shine, shine your light, yes we're badder than bad
Nigel Benn, the warrior, called the dark destroyer
Eubank, simply the best, nobody alive can touch that
Linford Christle, say nobody alive can catch me
Moving like lightning with enough energy
Shine, shine your light, yes we're badder than bad
Shine, shine your light, yes we're badder than bad
Him a floating like a butterfly, the hurdling man
Yes, me a chat about Colin Jackson
The crowd is roaring, Ian Wright scoring
Boogie man a fe the mighty champion fe we (ooh ooh ooh)
(BRIDGE)
(Shine), shine like a star (ah-ha)
Shining so bright (ah-ha) like the star that you are (ah-ha)
Oh oh oh oh shine (shine) into the future (ah-ha)
Spreading your light (ah-ha) wherever you are (ah-ha)
(CHORUS)Embed",This song belongs to the 1995’s album Rise And Shine Again.,1994
Aswad,Don’t Turn Around,"Don’t Turn Around Lyrics
Woah, woah, woah, boy

If you wanna leave, baby
I won't beg you to stay
And if you wanna go, darlin'
Maybe it's better that way

I'm gonna be strong
I'm gonna be fine
Don't worry about this heart of mine
Walk out the door
See if I care
Go on and go now

But don't turn around
'Cause you're gonna see my heart breakin'
Don't turn around
I don't want you seein' me cryin'
Just walk away
It's tearin' me apart that you're leavin'
I'm lettin' you go
And I won't let you know
I won't miss your arms around me
Holdin' me tight
And if you ever think about me
Just know that I'm gonna be alright
(Be alright, be alright)

I'm gonna be strong
I'm gonna do fine
Don't worry about this heart of mine
I know I'll survive
I'll make it through
And I'll learn to live without you

But don't turn around
'Cause you're gonna see my heart breakin'
Don't turn around
I don't want you seein' me cryin'
Just walk away
It's tearin' me apart that you're leavin'
I'm lettin' you go
And I won't let you know

I wish I could scream out loud that I love you
I wish I could say to you, ""Don't go, don't go, don't go""
Don't turn around, girl, ooh-hoo
Don't turn around
I don't want you seein' me cryin'
Just walk away
It's tearin' me apart that you're leavin'
I'm lettin' you go
And I won't let you know
Don't turn around
'Cause you're gonna see my heart breakin'
Don't turn around
I don't want you seein' me cry
Just walk away
It's tearin' me apart that you're leavin'
I'm lettin' you go
But don't you turn around

I'm cryin', I don't want you to see when I'm crying
(Don't turn around)
Eh-hey, don't you turn around when you're leavin'
(Don't turn around)
Bye-bye, I don't want you to see when I'm crying
(Don't turn around)
No-no, I don't want you to turn when you're leavin'
Don't you turn around
Don't turn around, girl
(I don't want you to see me cryin')
Don't want you to see me cryEmbed",?,"February 10, 1988"
Aswad,Need Your Love (Each And Every Day),"Need Your Love (Each And Every Day) LyricsOoh, ooh, ooh, ooh, well
Ooh, ooh, ooh, ooh, alright
Na, na, na, na, na, na, oh, well
Na, na, na, na, na, na, alright
I need your love, more than just an hour
I need your love, more than just a day
So hold me close, my love will never falter
I need your love each and every day
Now I want to hear
That we can be together
Our hopes and our dreams
We can see this way
Won't you open up your heart
(Open up and let love in)
And let me in
(Let this loving feeling in)
For you and I will never part
(Open up and let love in)
That you should know so
(Let this loving feeling in)
I need your love, more than just an hour
I need your love, more than just a day, baby
So hold me close, my love will never falter
I need your love each and every day
Honey, I need your love
Yes, I need your love
And now the time has come
For us to join together
(Us to join together now)
I hope and I pray
We'll see a better day
Won't you open up your heart
(Open up and let love in)
And let me in?
(Let this loving feeling in)
With this feeling in my heart
(Open up and let love in)
We can last for a lifetime
(Let this loving feeling in)
I need your love
(Well, more than just an hour)
I need your love more than just a day, baby
So hold me close, my love will never falter
I need your love each and every day
Na, na, na, na, na, na, oh, well
Na, na, na, na, na, na, alright
Woo, well
Ooh, ooh, ooh, oohEmbed",?,
Aswad,Smokey Blues,"Smokey Blues LyricsIt's Saturday, and now it's time to rave
I've got a date, with her i can't be late
I've really gotta reach there right on time
It's gettin kinda late now, i wonder if she'll wait?
In that
Smokey smokey blues, wo-oh-oh-oh
Dancehall cock, where to begin?
Smokey smokey blues, wo-oh-oh-oh
Dancehall cock, well now
So now I'm waitin, anticipating
Is she gonna break, this heart of mine?
No need to worry, i see her coming to me
I'm gonna take it one step at a time
In this
Smokey smokey blues, wo-oh-oh-oh
Dancehall cock tonight
Smokey smokey blues, wo-oh-oh-oh
Dancehall cock tonight
Sweet music's playing, our bodies swaying
I hold you close as we dance in time
You've got that certain something, it's getting to me
I always wanted you by my side
In this
Smokey smokey blues, wo-oh-oh-oh
Dancehall cock tonight
Smokey smokey blues, wo-oh-oh-oh
Dancehall cock tonight
(repeat chorus)Embed",?,
Aswad,Next to You,"Next to You LyricsOooh!
Oooh
Oooh, oooh, ooohooohooo
I, I've waited such a long time, baby, yeah, yeah
To get next to you
I, I've waited such a long time, darling, oh, girl
To get next to you
Something's got to give
To be your love I need to live
Don't you know the way I feel?
My situation's clear
I need you here
Don't wanna stand another night here without you
I, I've waited such a long time, baby, sure, girl
To get next to you
I, I've waited such a long time, darling
To get next to you
Time is fun, alright
Opportunities are tight
Girl, you know the way I feel
I think about you all the time
Wanna make you mine
I need you near, right here, my dear
Don't you know that I (I)
See, need to have you close
Have you whisper in my ear
Oho, I (I)
Don't wanna spend another night
Talkin' to the air
I, I've waited such a long time, baby, oh, girl
To get next to you
I, I've waited such a long time, darling
To get next to you
For some turning makes me weak
The thought of you keeps me from sleep
I need to talk to you
Ooohooo
For when all is said and done
Before the fact we two'll be one
I need to know: do you feel the same way as I do?
Yeah, we'll be alright
Rockin' and jammin' to the bassline, yeah
On the drums, gimme rhythm too
When you hear what you know what to do
Yes, a little bit of that
You don't blame your turn and you rev' it up like that
So come on the floor, make me show you as they do
Babe, and it's good for you
I, I, I, I waited such a long time
Waited such a long time to get next to you
I've waited such a long time, darling
To get next to you
I wanna get, I need to get, I wanna get
(Waited such a long time)
Rock me, darling, I need to get, I wanna get
I wanna get next to you
I, I, I, I waited such a long time, baby
I wanna get (Next to you)
I, I've waited such a long time, darling
I wanna get next to youEmbed",?,
Aswad,Give a Little Love,"Give a Little Love LyricsLiving in this crazy world, so caught up in the confusion
Nothing is-a making sense for me and you
But maybe if we find a way, there is got to be the solution
How to make a brighter day? What do we do?
We've got to give a little love, have a little hope
Let's make this world a little better
Try a little more, harder than before
Let's do what we can do together
Only we can make it better...
Only if we try...
Got the words on our minds, got the troubles on our shoulders
Sometimes it just seems so much what we go through
But maybe if we take the time, time to understand each other
We can learn to make it right. What do we do?
We've got to give a little love, have a little hope
Let's make this world a little better
Try a little more, harder than before
Let's do what we can do together
Only we can make it better...
Only if we try...
Only we can make it better...
Only if we try...
If everybody took somebody by the hand
Then maybe everyone could learn to love and understand
We've got to give a little love, have a little hope
Let's make this world a little better
Try a little more, harder than before
Let's do what we can do together
We've got to give a little love, have a little hope
Let's make this world a little better
Try a little more, harder than before
Let's do what we can do together
Only we can make it better...
Only if we try...
Only we can make it better...
Only if we try...
Give a little love...
Give a little love...
Give a little love...
Give a little love...Embed",?,
Aswad,54-46 Was My Number,"54-46 Was My Number Lyrics(Frederick ""Toots"" Hibbert)
Stick it up, mister!
Can you hear what I'm saying now, yeah
Get your hands in the air, sir!
And you will get no hurt, mister, no no no
I said yeah (I said yeah)
Listen what they say (listen what they say)
Can you hear me say, yeah? (yeah yeah)
Listen what they say (listen what they say)
Do you believe I would take such a thing with me
And give it to a police man?
I wouldn't do that, oh no (ooh, ooh)
I wouldn't do that (ooh, ooh)
And if I do that, I would say ""Sir
Come on and put the charge on me""
I wouldn't do that (ooh, ooh)
I wouldn't do that (ooh, ooh)
I'm not a fool to hurt myself
So I was innocent of what they done to me
They were wrong (ooh, ooh), oh yeah
They were wrong (ooh, ooh)
You give it to me one time (huh)
You give it to me two times (huh-huh)
You give it to me three times (huh-huh-huh)
You give it to me four times (huh-huh-huh-huh)
54-46 was my number, was my number, man
Right now, someone else has that number
54-46 was my number, well
Right now, someone else has that number
And I said yeah (I said yeah)
Listen what they say (listen what they say)
Can you hear me say, yeah? (yeah yeah)
Listen what they say (listen what they say)
Oh, work could not control me now
Oh, no bars could not hold me now
They hold I down and they lock-a you way
They try to keep I for a year and a day
But through the powers of the Most High God
Got to turn me lose, I say
54-46 was my number, was my number, man
Right now, someone else has that number, well
54-46 was my number, was my number, man
Right now, someone else has that numbEmbed",?,
artist,title,lyrics,description,release date
Atlanta Rhythm Section,So in to You,"So in to You Lyrics
When you walked into the room
There was voodoo in the vibes
I was captured by your style
But I could not catch your eyes
Now I stand here helplessly
Hoping you'll get into me

I am so into you
I can't think of nothing else
I am so into you
I can't think of nothing else

Thinking how it's going to be
Whenever I get you next to me
It's gonna be good, don't you know
From your head to your toe
Gonna love you all over, over and over
Me into you, you into me, me into you

I am so into you
I am so into you, ooh
When you walked into the room
There was voodoo in the vibes
I was captured by your style
But I could not catch your eyes
Now I stand here helplessly
Hoping you'll get into me

I am so into you
I can't get to nothing else
I am so into you baby
I can't get to nothing else
No no no come on baby
I am so into you
Love the things you do

Listen baby
Driving me crazy, oooh
Come on baby, oo-ooh
I am so into you
Love the things you do
Come on baby
I am so into you
I am so into you
I am so into you2Embed",?,January 1976
Atlanta Rhythm Section,Imaginary Lover,"Imaginary Lover LyricsImaginary lovers never turn you down
When all the others turn you away, they're around
It's my private pleasure, midnight fantasy
Someone to share my wildest dreams with me
Imaginary lover, you're mine anytime
Imaginary lovers, oh yeah
When ordinary lovers don't feel what you feel
And real life situations lose their thrill
Imagination's unreal
Imaginary lover, imaginary lover
You're mine anytime
Imaginary lovers never disagree
They always care
They're always there when
You need satisfaction guaranteed
Imaginary lover, imaginary lover
You're mine all the time
My imaginary lover
You're mine anytimeEmbed",?,February 1978
Atlanta Rhythm Section,Spooky,"Spooky LyricsIn the cool of the evening
When everything is gettin kind of groovy
I call you up and ask you if you
Would you like to go with me and see a movie
First you say no, you've got some plans for the night
And then you stop, and say, all right
Love is kinda crazy with a spooky little girl like you
You always keep me guessin
I never seem to know what you are thinkin
And if a fella looks at you
It's for sure your little eye will be a-winkin
I get confused, cause I don't know where I stand
And then you smile, and hold my hand
Love is kinda crazy with a spooky little girl like you
Spooky
Spooky
If you decide someday to stop this little game that you are playin
I'm gonna tell you all what my heart's been a-dyin to be sayin
Just like a ghost, you've been a-hauntin my dreams
So I'll propose on Halloween
Love is kinda crazy with a spooky little girl like you
Spooky, spooky, oh whoa, all right
Spooky, oh yea yea
I said Spooky yea yea4Embed",?,August 1979
Atlanta Rhythm Section,Homesick,"Homesick LyricsGuitars ring through the dead of night
Scream so blue sound so right
Make You Homesick
Listen close to the guitar man
A native son in a foreign land
The boy is homesick
Homesick for days gone by
Homesick for home, sweet home
Where were you in '69
Smokin' dope and drinkin' wine
Just a outlaw
Distant drums beat an old refrain
Shakes the feet pounds the brain
Like a buzz saw
In the darkness down the hall
Black light posters on the wall
Jimi Hendrix
Someones lost in yesterday
Hazy dreams of Monterrey.... and Woodstock
Homesick
Four days gone by
To kiss the sky
Guitars ring through the dead of night
Sing so blue sound so right
Makes you Homesick
Listen close to the guitar man
A native son in a foreign land
The boy is homesickEmbed",?,
Atlanta Rhythm Section,The Ballad of Lois Malone,"The Ballad of Lois Malone Lyrics(This is the Ballad of Lois Malone)
I knew this ol' gal, down in south Alabama
She was a sight to behold
She drank like a fish, and cussed like a sailor
She was a hell-raisin' soul
Everyone knew Lois, wild Lois
Lois could show you a time (aw what a time)
Oh the good people said, she was not a Christian
She was footloose and fancy free
She was not a lady, but she was a woman
And that's all that mattered to me
Everyone knew Lois, wild-wild Lois
Lois could show you a time (Lawd what a time)
I miss her sometimes, even though she was crazy (ol' girl)
She was good for my mind (yes she was)
She called me ""baby""... all night long!
Proud to have known... Lois Malone!
Last week I ran into, an ol' drinkin' buddy
We swapped a story or two
We drank one to a town, down in south Alabama
One to an ol' gal we knew
I said... here's one to Lois, wild Lois
Here's one to all her kind... Lois Malone!
(You know yours and I know mine!)
She called me ""baby""... all night long!
I was proud to have known... Lois Malone!Embed",?,
Atlanta Rhythm Section,Back Up Against the Wall,"Back Up Against the Wall LyricsI was dealin' up and down the highway
Till they caught me with a heavy load
They sentenced me to hard labor
Workin' on the side of the road
Now I don't deny I was guilty
And I know I broke the law
I was hungry and broke and couldn't see no hope
And my back was up against the wall
Now I'm right outside your window
Honey open up and let me in
I broke out of jail this mornin'
And I ain't never goin' back again
I just had to stop by for a minute
And I can't stay long at all
'Cause I gotta run you see I'm under the gun
And my back is up against the wall
I was shackled to a three-time loser
A man named Jefferson
One night we got to talkin'
And I asked him what he'd done
He said a man fell over my razor
In the middle of a barroom brawl
But don't you see it was him or me
And my back was up against the wall
Now I'm right outside your window
Honey open up and let me in
I broke out of jail this mornin'
And I ain't never goin' back again
I just had to stop by for a minute
And I can't stay long at all
'Cause I gotta run you see I'm under the gun
And my back is up against the wall
Now I'm right outside your window
Honey open up and let me in
I broke out of jail this mornin'
And I ain't never goin' back again
I just had to stop by for a minute
And I can't stay long at all
'Cause I gotta run you see I'm under the gun
And my back is up against the wall
I gotta run you see I'm under the gun
And my back is up against the wall
Yeah I gotta run you see I'm under the gun
And my back is up against the wallEmbed",?,
Atlanta Rhythm Section,Do It or Die,"Do It or Die LyricsDon't let your troubles make you cry
Don't waste a moment wonderin' why
When everything goes wrong
You have to go on
And do it or die
Do it or die now
Stand your ground
Don't let your bad breaks go gettin' you down
Even when times get rough
And you've had enough
You still gotta try
Do it no matter what the people say
They don't even know you
Die before you let them stand in your way
You should know that life is a gamble all along
Winners are losers who keep rollin' on
So go on and roll the dice
You only live twice
So do it or dieEmbed",?,
artist,title,lyrics,description,release date
Audioslave,Like a Stone,"Like a Stone Lyrics
On a cobweb afternoon in a room full of emptiness
By a freeway, I confess I was lost in the pages
Of a book full of death, reading how we'll die alone
And if we're good, we'll lay to rest anywhere we want to go

In your house, I long to be
Room by room, patiently
I'll wait for you there like a stone
I'll wait for you there alone

And on my deathbed, I will pray to the gods and the angels
Like a pagan to anyone who will take me to heaven
To a place I recall, I was there so long ago
The sky was bruised, the wine was bled, and there you led me on

In your house, I long to be
Room by room, patiently
I'll wait for you there like a stone
I'll wait for you there alone, alone

And on I read until the day was gone
And I sat in regret of all the things I've done
For all that I've blessed and all that I've wronged
In dreams until my death, I will wander on

In your house, I long to be
Room by room, patiently
I'll wait for you there like a stone
I'll wait for you there alone, alone72Embed","Bassist Tim Commerford claims that the song is about an old man waiting for death, who sits in a house alone after all his friends and family have passed on, waiting to be reunited with them.

However, while Commerford originally thought it was a song about love and romance, band’s singer and songwriter Chris Cornell explains that “It’s a song about concentrating on the afterlife you would hope for, rather than the normal monotheistic approach: You work really hard all your life to be a good person and a moral persona and fair and generous, and then you go to hell anyway.”","January 28, 2003"
Audioslave,I Am the Highway,"I Am the Highway Lyrics
Pearls and swine
Bereft of me
Long and weary
My road has been
I was lost in the cities
Alone in the hills
No sorrow or pity
For leaving, I feel, yeah

I am not your rolling wheels
I am the highway
I am not your carpet ride
I am the sky

Friends and liars
Don't wait for me
Cause I'll get on
All by myself
I put millions of miles
Under my heels
And still too close
To you, I feel, yeah
I am not your rolling wheels
I am the highway
I am not your carpet ride
I am the sky
I am not your blowing wind
I am the lightning
I am not your autumn moon
I am the night, the night


Yeah! I am not your rolling wheels
I am the highway
I am not your carpet ride
I am the sky
Well, I am not your blowing wind
I am the lightning
I am not your autumn moon
I am the night, the night

Yeah, yeah, yeah, yeah25Embed",This fourth single from the band’s debut album peaked at 66 on Billboard. It is about escaping a one-sided relationship and escaping from it. Most people speculate that it is either about Chris Cornell’s divorce from his wife or about him leaving Soundgarden.,"November 19, 2002"
Audioslave,Be Yourself,"Be Yourself Lyrics
Someone falls to pieces, sleeping all alone
Someone kills the pain, spinning in the silence
She finally drifts away
Someone gets excited in a chapel yard, catches a bouquet
Another lays a dozen white roses on a grave

Yeah, and to be yourself is all that you can do
Hey, to be yourself is all that you can do

Someone finds salvation in everyone, another only pain
Someone tries to hide himself, down inside himself he prays
Someone swears his true love until the end of time, another runs away
Separate or united, healthy or insane

To be yourself is all that you can do (All that you can do), oh
To be yourself is all that you can do  (All that you can do), oh
To be yourself is all that you can do  (All that you can do), oh
To be yourself is all that you can do


And even when you've paid enough
Been pulled apart or been held up
Every single memory of the good or bad
Faces of luck, don't lose any sleep tonight
I'm sure everything will end up alright
You may win or lose
But to be yourself is all that you can do, yeah
To be yourself is all that you can do, oh

To be yourself is all that you can do (All that you can do), oh
To be yourself is all that you can do (All that you can do), oh-yeah
To be yourself is all that you can—
Be yourself is all that you can—
Be yourself is all that you can do21Embed","An anthem for the people who are searching for themselves, “Be Yourself,” as the title suggests, revolves in finding happiness in yourself. The song got released as the lead single for their second studio album, which they hadn’t named when the song got released.

As solemn as the lyrics are; the song is inspired by the repeated mistakes of the lead singer, Chirs Cornell. In an interview to Launch Radio, Chris also mentioned ten years prior to the release he’d have been ashamed to put the song out.","February 2, 2005"
Audioslave,Cochise,"Cochise Lyrics
Well, I've been watching, while you've been coughing
I've been drinking life, while you've been nauseous
And so I drink to health, while you kill yourself
And I've got just one thing that I can offer

Go on and save yourself
And take it out on me
Go on and save yourself
And take it out on me, yeah

I'm not a martyr, I'm not a prophet
And I won't preach to you, but here's a caution
You better understand, that I won't hold your hand
But if it helps you mend, then I won't stop it

Go on and save yourself
And take it out on me
Go on and save yourself
And take it out on me, yeah
Go on and save yourself
And take it out on me
Go on and save yourself
And take it out on me, yeah
Drown if you want, and I'll see you at the bottom
Where you'll crawl on my skin and put the blame on me
So you don't feel a thing

Go on and save yourself
And take it out on me
Go on and save yourself
And take it out on me, yeah
Go on and save yourself
And take it out on me
Go on and save yourself
And take it out on me, yeah11Embed","“Cochise” was released as Audioslave’s first single. The song was named after an Apache Indian chief who declared war on the Southwest and drove out thousands of settlers. Cochise has been described as the last great American Indian chief to die free and absolutely unconquered. When several members of his family were captured, tortured and hanged by the U.S. Cavalry, Cochise declared war on the entire Southwest and went on an unholy rampage, a warpath to end all warpaths.

Chris Cornell said the lyrics was about “me yelling at me in a mirror.” The song has several potential interpretations. First, it could be about someone yelling that he needs to stop wasting his life away. A second, and deeper, interpretation is alcoholism as the tates will discuss. Finally, a common subject in Chris Cornell’s music, is depression and how it can seem like depression is another part of you that wants to see you dragged down.","September 25, 2002"
Audioslave,Doesn’t Remind Me,"Doesn’t Remind Me Lyrics
I walk the streets of Japan 'til I get lost
'Cause it doesn't remind me of anything
With a graveyard tan carrying a cross
Yeah, it doesn't remind me of anything
I like studying faces in parking lot
'Cause it doesn't remind me of anything
I like drivin' backwards in the fog
'Cause it doesn't remind me of anything

The things that I've loved, things that I've lost
Things I've held sacred that I've dropped
I won't lie no more you can bet
I don't wanna learn what I'll need to forget

I like gypsy moths and radio talk
'Cause it doesn't remind me of anything
I like gospel music and canned applause
'Cause it doesn't remind me of anything
I like colorful clothing in the sun
'Cause it doesn't remind me of anything
I like hammering nails and speaking in tongues
'Cause it doesn't remind me of anything
The things that I've loved, things that I've lost
Things I've held sacred that I've dropped
I won't lie no more you can bet
Don't wanna learn what I'll need...

Bend and shape me, I love the way you are
Slow and sweetly like never before
Calm and sleeping, we won't stir up the past
So discreetly we won't look back


The things that I've loved, things that I've lost
Things I've held sacred that I've dropped
I won't lie no more you can bet
I don't wanna learn what I'll need

I like throwing my voice and breaking guitars
'Cause it doesn't remind me of anything
I like playin' in the sand, what's mine is ours
If it doesn't remind me of anything6Embed","This slow-burning ballad morphs into a heavy rock song propelled by a fiery guitar solo from Tom Morello, as singer Chris Cornell reflects on the things that he’s lost and describes elements of life that help him forget those tragedies.

The song was nominated for the Best Hard Rock Performance at the 48th Grammy Awards.

The music video featured a boy who lost his father in the Iraq war and became a child boxer in order to move on and forget this tragedy. Notably, the members of Audioslave do not appear in the video. Chris Cornel told MTV in 2005 that this was a conscious choice to avoid the Aerosmith cliches from 1987.","May 24, 2005"
Audioslave,Shadow on the Sun,"Shadow on the Sun Lyrics
Once upon a time
I was of the mind
To lay your burden down
And leave you where you stood
You believed I could
You'd seen it done before
I could read your thoughts
And tell you what you saw
And never say a word
But now all that is gone
Over with and done
Never to return

And I can tell you why
People die alone
I can tell you I'm
A shadow on the sun

Staring at the loss
Looking for the cause
And never really sure
Nothing but a hole
To live without a soul
And nothing to be learned
And I can tell you why
People go insane
I can show you how
You could do the same
I can tell you why
The end will never come
I can tell you I'm
A shadow on the sun


Shapes of every size
Move behind my eyes
Doors inside my head
Bolted from within
Every drop of flame
Lights a candle in
Memory of the one
Who lived inside my skin

And I can tell you why
People go insane
I can show you how
You could do the same
I can tell you why
The end will never come
I can tell you I'm
The shadow on the sun
Shadow on the sun
Shadow on the sun
Shadow on the sun
Shadow on the sun
Shadow on the sun
Shadow on the sun
Shadow on the sun
Shadow on the sun
Sun, sun10Embed",?,"November 18, 2002"
Audioslave,Getaway Car,"Getaway Car Lyrics
The first time I saw you
You were chasing down
A cyclone
All alone in a field
With rail yards and clovers
I kept rolling on and never thought
You'd wind up chasing me

Settle down, I won't hesitate
To hit the highway
Before you lay me to waste
Saddle up and I'll help you find
Something to drive
Before you drive me insane

You're tired of walking and you
Loathe the ground
The sidewalk will barely touch your feet
And life moves too slowly to hold you down
With wringing hands
You take it out on me

Settle down, I won't hesitate
To hit the highway
Before you lay me to waste
Saddle up and I'll help you find
Something to drive
Before you drive me insane
So get yourself a car
And drive it all alone
Get yourself a car
And ride it on the wind

Get yourself a car
And drive it all alone
Get yourself a car
And ride it on the wind

Settle down, I won't hesitate
To hit the highway
Before you lay me to waste
Saddle up and I'll help you find
Something to drive
Before you drive me insane

So get yourself a car
And drive it all alone
Get yourself a car
And ride it on the wind6Embed",?,"November 19, 2002"
artist,title,lyrics,description,release date
B.B. King,The Thrill is Gone,"The Thrill is Gone Lyrics
The thrill is gone
The thrill is gone away
The thrill is gone, baby
The thrill is gone away
You know you done me wrong, baby
And you'll be sorry someday

The thrill is gone
It's gone away from me
The thrill is gone, baby
The thrill is gone away from me
Although I'll still live on
But so lonely I'll be


The thrill is gone
It's gone away for good
Oh, the thrill is gone, baby
It's gone away for good
Someday, I know I'll be over it all, baby
Just like I know a man should
You know I'm free, free now, baby
I'm free from your spell
I'm free, free, free now
I'm free from your spell
And now that it's all over
All I can do is wish you well10Embed","The biggest hit of B.B. King’s career, this cover of the 1951 song by Roy Hawkins reached number 15 in the Billboard Hot 100 and number 3 in the R&B charts.



This song is number 183 in Rolling Stone list of the 500 greatest songs of all time.",December 1969
B.B. King,Old Time Religion,"Old Time Religion LyricsGive me that old time religion
Give me that old time religion
Give me that old time religion
It is good enough for me
It was good for my old mother
It was good for my old mother
It was good for my old mother
And it's good enough for me
It was good for the Hebrew children
It was good for the Hebrew children
It was good for the Hebrew children
And it's good enough for me
It was good for Paul and Silas
It was good for Paul and Silas
It was good for Paul and Silas
And it's good enough for me
Give me that old time religion
Give me that old time religion
Give me that old time religion
It is good enough for me
It was good for my old father
It was good for my old father
It was good for my old father
And it's good enough for me
Give me that old time religion
Give me that old time religion
Give me that old time religion
It is good enough for me
It was good for the Hebrew children
It was good for the Hebrew children
It was good for the Hebrew children
And it's good enough for me
I want that old time religion
I want that old time religion
I want that old time religion
It is good enough for meEmbed",?,
